date,type,price,size,stop_price,capital,pnl
2020-02-27,SELL,3335.0,-1,3494.0,99956.645,
2020-03-02,BUY,3421.0,-1,,99052.172,-860.0
2020-03-04,BUY,3469.0,1,3321.0,99007.07500000001,
2020-03-06,SELL,3441.0,1,,98682.34200000002,-280.0
2020-03-08,BUY,3439.0,22,3434.0,97698.78800000002,
2020-03-16,SELL,3555.0,22,,122202.05800000002,25520.0
2020-03-22,SELL,3400.0,-1,3562.0,122157.85800000002,
2020-03-24,BUY,3463.0,-1,,121482.83900000002,-630.0
2020-03-26,SELL,3329.0,-1,3475.0,121439.56200000002,
2020-04-07,BUY,3244.0,-1,,122247.39000000001,850.0
2020-04-17,SELL,3381.0,-9,3408.0,121851.81300000001,
2020-04-21,BUY,3375.0,-9,,121996.93800000001,540.0
2020-04-23,SELL,3343.0,-7,3375.0,121692.725,
2020-04-29,BUY,3367.0,-7,,119706.32800000001,-1680.0
2020-05-05,BUY,3392.0,2,3286.0,119618.13600000001,
2020-05-13,SELL,3445.0,2,,120588.566,1060.0
2020-05-15,BUY,3464.0,8,3434.0,120228.31000000001,
2020-05-21,SELL,3508.0,8,,123383.47800000002,3520.0
2020-05-27,BUY,3498.0,24,3488.0,122292.10200000001,
2020-05-31,SELL,3577.0,24,,140136.078,18960.0
2020-06-02,BUY,3634.0,3,3557.0,139994.352,
2020-06-04,SELL,3604.0,3,,138953.796,-900.0
2020-06-08,BUY,3619.0,9,3591.0,138530.373,
2020-06-10,SELL,3596.0,9,,136039.641,-2070.0
2020-06-12,BUY,3626.0,5,3572.0,135803.951,
2020-06-14,SELL,3572.0,5,,132871.771,-2700.0
2020-06-16,BUY,3585.0,14,3567.0,132219.301,
2020-06-22,SELL,3610.0,14,,135062.28100000002,3500.0
2020-06-24,BUY,3620.0,19,3606.0,134168.141,
2020-06-28,SELL,3552.0,19,,120370.797,-12920.0
2020-07-02,BUY,3619.0,3,3542.0,120229.656,
2020-07-10,SELL,3690.0,3,,122215.746,2130.0
2020-07-12,BUY,3739.0,4,3680.0,122021.318,
2020-07-16,SELL,3726.0,4,,121307.566,-520.0
2020-07-20,BUY,3764.0,3,3685.0,121160.77,
2020-07-24,SELL,3747.0,3,,120504.637,-510.0
2020-07-28,BUY,3766.0,4,3715.0,120308.80500000001,
2020-08-07,SELL,3832.0,4,,122749.54100000001,2640.0
2020-08-17,BUY,3848.0,2,3766.0,122649.49300000002,
2020-08-19,SELL,3765.0,2,,120891.60300000002,-1660.0
2020-08-21,BUY,3783.0,8,3755.0,120498.17100000002,
2020-08-25,SELL,3726.0,8,,115550.66700000002,-4560.0
2020-09-02,BUY,3790.0,3,3721.0,115402.85700000002,
2020-09-04,SELL,3754.0,3,,114176.45100000002,-1080.0
2020-09-06,SELL,3736.0,-3,3800.0,114030.74700000002,
2020-09-18,BUY,3603.0,-3,,117880.23000000001,3990.0
2020-09-20,SELL,3539.0,-3,3617.0,117742.20900000002,
2020-09-22,BUY,3542.0,-3,,117514.07100000001,-90.0
2020-09-24,SELL,3522.0,-6,3560.0,117239.35500000001,
2020-09-28,BUY,3536.0,-6,,116123.547,-840.0
2020-10-12,SELL,3628.0,-15,3643.0,115416.087,
2020-10-16,BUY,3632.0,-15,,114107.847,-600.0
2020-10-18,SELL,3611.0,-7,3640.0,113779.246,
2020-10-20,BUY,3650.0,-7,,110717.096,-2730.0
2020-10-22,SELL,3616.0,-6,3652.0,110435.04800000001,
2020-10-28,BUY,3668.0,-6,,107028.944,-3120.0
2020-10-30,BUY,3702.0,2,3615.0,106932.69200000001,
2020-11-23,SELL,3910.0,2,,110991.032,4160.0
2020-11-27,BUY,3924.0,3,3855.0,110837.99600000001,
2020-11-29,SELL,3906.0,3,,110145.66200000001,-540.0
2020-12-01,BUY,3913.0,9,3889.0,109687.84100000001,
2020-12-03,SELL,3900.0,9,,108061.54100000001,-1170.0
2020-12-07,BUY,3914.0,2,3831.0,107959.77700000002,
2020-12-11,SELL,4033.0,2,,110234.91900000002,2380.0
2020-12-15,BUY,4148.0,1,3973.0,110180.99500000002,
2020-12-23,SELL,4291.0,1,,111555.21200000003,1430.0
2020-12-25,BUY,4341.0,2,4241.0,111442.34600000003,
2020-12-27,SELL,4244.0,2,,109392.00200000004,-1940.0
2020-12-31,BUY,4388.0,1,4179.0,109334.95800000004,
2021-01-10,SELL,4348.0,1,,108878.43400000004,-400.0
2021-01-14,BUY,4360.0,2,4253.0,108765.07400000004,
2021-01-18,SELL,4288.0,2,,107213.58600000004,-1440.0
2021-01-20,BUY,4369.0,2,4282.0,107099.99200000004,
2021-01-22,SELL,4294.0,2,,105488.34800000004,-1500.0
2021-01-24,BUY,4321.0,5,4280.0,105207.48300000004,
2021-01-28,SELL,4267.0,5,,102230.12800000004,-2700.0
2021-02-01,SELL,4154.0,-1,4381.0,102176.12600000005,
2021-02-03,BUY,4246.0,-1,,101200.92800000004,-920.0
2021-02-07,BUY,4335.0,1,4226.0,101144.57300000005,
2021-02-19,SELL,4524.0,1,,102975.76100000004,1890.0
2021-02-21,BUY,4582.0,1,4479.0,102916.19500000004,
2021-03-05,SELL,4696.0,1,,103995.14700000004,1140.0
2021-03-07,BUY,4752.0,1,4633.0,103933.37100000004,
2021-03-09,SELL,4589.0,1,,102243.71400000004,-1630.0
2021-03-11,BUY,4729.0,1,4558.0,102182.23700000004,
2021-03-15,SELL,4701.0,1,,101841.12400000004,-280.0
2021-03-17,BUY,4759.0,2,4658.0,101717.39000000004,
2021-03-21,SELL,4763.0,2,,101673.55200000004,80.0
2021-03-23,BUY,4816.0,2,4739.0,101548.33600000004,
2021-04-06,SELL,5117.0,2,,107435.29400000004,6020.0
2021-04-12,BUY,5116.0,2,5041.0,107302.27800000003,
2021-04-14,SELL,5107.0,2,,106989.49600000003,-180.0
2021-04-16,BUY,5116.0,7,5087.0,106523.94000000003,
2021-04-18,SELL,5082.0,7,,103681.47800000003,-2380.0
2021-04-20,BUY,5188.0,1,5058.0,103614.03400000003,
2021-04-30,SELL,5391.0,1,,105573.95100000003,2030.0
2021-05-06,BUY,5678.0,1,5354.0,105500.13700000003,
2021-05-12,SELL,5915.0,1,,107793.24200000003,2370.0
2021-05-18,SELL,5309.0,-1,5468.27,107724.22500000002,
2021-05-28,BUY,4933.0,-1,,111420.09600000002,3760.0
2021-06-07,SELL,5004.0,-1,5275.0,111355.04400000002,
2021-06-09,BUY,5168.0,-1,,109647.86000000003,-1640.0
2021-06-11,BUY,5322.0,1,5162.34,109578.67400000003,
2021-06-15,SELL,5014.0,1,,106433.49200000003,-3080.0
2021-06-21,SELL,4885.0,-1,5177.0,106369.98700000002,
2021-06-23,BUY,4933.0,-1,,105825.85800000002,-480.0
2021-06-27,SELL,5070.0,-12,5087.0,105034.93800000002,
2021-06-29,BUY,5147.0,-12,,94992.00600000002,-9240.0
2021-07-05,BUY,5304.0,1,5068.0,94923.05400000002,
2021-07-11,SELL,5432.0,1,,96132.43800000002,1280.0
2021-07-13,BUY,5580.0,1,5417.0,96059.89800000003,
2021-07-15,SELL,5559.0,1,,95777.63100000002,-210.0
2021-07-19,BUY,5601.0,1,5440.0,95704.81800000003,
2021-07-27,SELL,5658.0,1,,96201.26400000002,570.0
2021-07-29,BUY,5737.0,1,5581.0,96126.68300000002,
2021-08-02,SELL,5247.0,1,,91158.47200000002,-4900.0
2021-08-08,SELL,5330.0,-1,5445.0,91089.18200000003,
2021-08-10,BUY,5597.0,-1,,88346.42100000003,-2670.0
